Cluster 0


                      p_val avg_logFC pct.1 pct.2     p_val_adj
RP11-1143G9.4  1.328059e-13  1.720850 0.084 0.320  2.656119e-10
HLA-DRB1       9.256854e-36  1.641571 0.266 0.641  1.851371e-32
CD79A          1.625608e-13  1.626338 0.164 0.397  3.251217e-10
FCER1G         1.101525e-20  1.530398 0.135 0.431  2.203050e-17
GNLY          1.583568e-108  1.521288 0.967 0.393 3.167135e-105
AIF1           1.075104e-16  1.517862 0.113 0.388  2.150208e-13
S100A12        2.450358e-04  1.509562 0.161 0.283  4.900715e-01
CST3           8.591710e-07  1.464797 0.230 0.396  1.718342e-03
KLRB1          1.960714e-92  1.427811 0.894 0.347  3.921428e-89
GZMH           3.432055e-72  1.329329 0.745 0.256  6.864111e-69
HLA-DPA1       1.996249e-20  1.324031 0.391 0.622  3.992498e-17
CD79B          1.741476e-13  1.283819 0.179 0.411  3.482952e-10
MS4A1          4.567406e-11  1.261845 0.161 0.365  9.134811e-08
TCL1A          3.673493e-10  1.258961 0.113 0.307  7.346986e-07
LST1           2.843853e-09  1.231046 0.175 0.371  5.687706e-06

Cluster 4 
                      p_val avg_logFC pct.1 pct.2     p_val_adj
S100A8        3.015912e-157  4.830118 0.959 0.283 6.031823e-154
S100A9        7.826640e-148  4.598268 0.978 0.433 1.565328e-144
LYZ           6.859837e-172  4.270409 0.981 0.305 1.371967e-168
RP11-1143G9.4 1.268437e-196  3.276174 0.974 0.173 2.536875e-193
S100A12       1.613546e-146  3.097234 0.833 0.172 3.227092e-143
GNLY           2.565756e-24  2.809974 0.208 0.519  5.131513e-21
VCAN          2.058159e-157  2.624499 0.870 0.185 4.116319e-154
CSTA          4.916725e-208  2.574372 0.933 0.139 9.833449e-205
CST3          2.853643e-163  2.474604 0.978 0.273 5.707287e-160
MNDA          6.322135e-175  2.471168 0.929 0.199 1.264427e-171
FCN1          1.584006e-170  2.453524 0.907 0.170 3.168012e-167
NKG7           5.938797e-35  2.449440 0.268 0.626  1.187759e-31
KLRB1          5.440577e-25  2.110883 0.134 0.474  1.088115e-21
CD14          5.513022e-166  2.106118 0.740 0.078 1.102604e-162
LGALS1        1.507453e-121  1.961395 0.967 0.452 3.014906e-118
S100A6        9.482384e-124  1.889219 0.985 0.780 1.896477e-120
NAMPT         2.975618e-119  1.834917 0.784 0.148 5.951236e-116
AIF1          2.990568e-147  1.824917 0.952 0.249 5.981136e-144
IL8            5.635649e-41  1.818681 0.439 0.143  1.127130e-37
TYMP          1.074837e-114  1.789903 0.836 0.245 2.149675e-111
NEAT1         1.182133e-102  1.785684 0.911 0.415  2.364266e-99

Cluster 5
                     p_val avg_logFC pct.1 pct.2    p_val_adj
S100A8        5.144936e-01  2.858225 0.363 0.380 1.000000e+00
S100A9        1.409992e-02  2.769023 0.445 0.515 1.000000e+00
HLA-DRA       6.643235e-20  2.446564 0.329 0.637 1.328647e-16
LYZ           4.343854e-05  2.384925 0.274 0.411 8.687708e-02
GZMB          8.785401e-93  2.234288 0.938 0.269 1.757080e-89
GNLY          2.859494e-86  2.195268 0.993 0.432 5.718989e-83
PRF1          3.005553e-91  2.143626 0.945 0.316 6.011105e-88
KLRF1         1.967909e-93  2.099429 0.863 0.210 3.935818e-90
SPON2         1.640262e-78  2.077991 0.788 0.191 3.280523e-75
CLIC3         5.308082e-74  1.982659 0.815 0.241 1.061616e-70
IGLL5         6.029878e-09  1.863750 0.130 0.331 1.205976e-05
CD74          3.946449e-17  1.778898 0.603 0.802 7.892897e-14
FGFBP2        6.789646e-76  1.739852 0.890 0.280 1.357929e-72
HLA-DRB1      2.501334e-24  1.694380 0.212 0.618 5.002668e-21
NKG7          1.473728e-78  1.665946 1.000 0.541 2.947456e-75
CD7           1.976372e-58  1.612143 0.877 0.407 3.952744e-55
CD79A         1.934843e-16  1.542959 0.116 0.384 3.869685e-13
RP11-1143G9.4 8.419139e-03  1.529139 0.205 0.292 1.000000e+00
CST3          6.450380e-07  1.496034 0.205 0.386 1.290076e-03
CD247         2.990580e-60  1.414184 0.836 0.293 5.981161e-57
HLA-DPA1      7.365265e-16  1.397926 0.329 0.610 1.473053e-12

Cluster 6
                     p_val avg_logFC pct.1 pct.2    p_val_adj
HBB           1.046238e-07  3.507879 0.726 0.468 2.092477e-04
HBA2          1.386764e-01  2.686176 0.310 0.201 1.000000e+00
S100A8        3.382620e-01  2.679905 0.571 0.370 1.000000e+00
GNLY          3.070435e-04  2.673862 0.476 0.475 6.140871e-01
HBA1          1.192147e-04  2.481534 0.464 0.182 2.384295e-01
S100A9        5.655538e-01  2.432143 0.643 0.504 1.000000e+00
NKG7          8.381353e-04  2.386874 0.631 0.573 1.000000e+00
HBD           1.049293e-24  1.979158 0.595 0.115 2.098586e-21
LYZ           5.802258e-04  1.960078 0.702 0.386 1.000000e+00
KLRB1         7.650320e-03  1.946967 0.452 0.425 1.000000e+00
SPINK2        1.975727e-09  1.729826 0.512 0.146 3.951455e-06
IGLL5         4.736234e-06  1.665260 0.298 0.317 9.472469e-03
HBM           2.398997e-25  1.645241 0.524 0.097 4.797994e-22
TYROBP        5.120906e-05  1.623468 0.429 0.474 1.024181e-01
AHSP          2.397147e-02  1.584301 0.381 0.132 1.000000e+00
IGLL1         2.659229e-64  1.495071 0.738 0.111 5.318458e-61
CA1           1.849671e-11  1.476046 0.571 0.178 3.699342e-08
RP11-620J15.3 1.982041e-53  1.410366 0.833 0.171 3.964082e-50
GZMB          9.227274e-01  1.391613 0.464 0.313 1.000000e+00
PRSS57        6.509066e-92  1.391467 0.821 0.060 1.301813e-88
HIST1H4C      3.614184e-24  1.351915 0.833 0.306 7.228368e-21
